function,table,dataset,probe,sizes,phase,cycles,kcycles,instructions,L1-misses,LLC-misses,branch-misses,task-clock,scale,IPC,CPUs,GHz
rmi,cuckoo,wiki,uniform,25Mx25M,sort,2806.95,34.21,437.92,28.54,13.91,0.97,611.87,25000000,0.16,1.00,4.59
rmi,cuckoo,wiki,uniform,25Mx25M,insert,535.64,19.97,257.83,5.53,3.92,0.23,116.74,25000000,0.48,1.00,4.59
rmi,cuckoo,wiki,uniform,25Mx25M,join,413.44,0.32,100.64,5.92,3.59,1.08,90.19,25000000,0.24,1.00,4.58
mult,cuckoo,wiki,uniform,10Mx25M,sort,-nan,-nan,-nan,-nan,-nan,-nan,-nan,10000000,-nan,-nan,-nan
mult,cuckoo,wiki,uniform,10Mx25M,insert,692.76,21.08,202.38,7.48,4.55,0.25,153.20,10000000,0.29,1.00,4.52
mult,cuckoo,wiki,uniform,10Mx25M,join,361.19,22.53,87.59,6.09,3.34,1.08,78.77,25000000,0.24,1.00,4.59
mult,cuckoo,wiki,uniform,25Mx25M,sort,-nan,-nan,-nan,-nan,-nan,-nan,-nan,25000000,-nan,-nan,-nan
mult,cuckoo,wiki,uniform,25Mx25M,insert,744.45,20.46,217.56,7.73,4.84,0.30,162.30,25000000,0.29,1.00,4.59
mult,cuckoo,wiki,uniform,25Mx25M,join,353.36,0.29,74.99,5.55,3.81,1.07,77.04,25000000,0.21,1.00,4.59
mwhc,cuckoo,wiki,uniform,10Mx25M,sort,-nan,-nan,-nan,-nan,-nan,-nan,-nan,10000000,-nan,-nan,-nan
mwhc,cuckoo,wiki,uniform,10Mx25M,insert,2835.03,84.49,841.36,33.68,16.40,2.18,620.06,10000000,0.30,1.00,4.57
mwhc,cuckoo,wiki,uniform,10Mx25M,join,928.56,24.44,221.02,10.44,5.00,0.77,202.31,25000000,0.24,1.00,4.59
mwhc,cuckoo,wiki,uniform,25Mx25M,sort,-nan,-nan,-nan,-nan,-nan,-nan,-nan,25000000,-nan,-nan,-nan
