function,table,dataset,cycles,L1-dcache-load-misses,LLC-load-misses,branch-misses
rmi,chain,gap10,17936115660,446302889,46291991,25182795
mult,chain,gap10,16992185050,433828115,46451666,23719806
mwhc,chain,gap10,243200720946,2913137046,1013541854,241330305
rmi,linear,gap10,19381202690,480332884,28186255,23736829
mult,linear,gap10,18509114765,467718206,28281987,24574110
mwhc,linear,gap10,244438035733,2946618805,993767720,241773177
rmi,cuckoo,gap10,16356728359,390212072,27933568,23636182
mult,cuckoo,gap10,15500126331,377984214,27871461,23619688
mwhc,cuckoo,gap10,241712000797,2859256847,993257056,243300011
rmi,chain,fb,128001169768,1679311931,273515964,1166648679
mult,chain,fb,126901027447,1648384665,270177269,1164017758
mwhc,chain,fb,322437643273,3792865742,1111449277,1359217792
rmi,linear,fb,129960223312,1706947576,256550600,1182884141
mult,linear,fb,128329936937,1695796274,256114382,1154083957
mwhc,linear,fb,323974173874,3827705205,1093187390,1338752819
rmi,cuckoo,fb,127645727911,1635205890,258811833,1157399135
mult,cuckoo,fb,125340375661,1599987772,254610643,1176416717
mwhc,cuckoo,fb,320484058507,3741033887,1093353004,1349248549
